matches,fare_amount,duration,passenger_count,tpep_pickup_datetime,pickup_latitude,pickup_longitude,cars combined,new fare,driver cost saved,new duration,fare difference,duration difference,profit difference
"[97, 128]",17.0,22.766666666666666,4,2016-06-06 08:23:51,40.7554931640625,-73.99117279052734,2,28,5.691666666666666,30.766666666666666,11.0,8.0,16.691666666666666
"[0, 49]",27.0,26.816666666666666,2,2016-06-06 08:30:25,40.75775909423828,-73.96894836425781,2,14,6.704166666666667,30.816666666666666,-13.0,4.0,-6.295833333333333
"[103, 128]",60.5,71.31666666666666,2,2016-06-06 08:41:49,40.78514862060547,-73.953369140625,2,14,17.829166666666666,75.31666666666666,-46.5,4.0,-28.670833333333334
"[123, 136]",20.0,26.333333333333332,4,2016-06-06 08:43:55,40.74974822998047,-73.99520111083984,2,28,6.583333333333333,34.33333333333333,8.0,7.9999999999999964,14.583333333333332
"[25, 28]",14.0,14.100000000000001,2,2016-06-06 08:32:36,40.751075744628906,-73.99047088623048,2,14,3.5250000000000004,18.1,0.0,4.0,3.5250000000000004
"[30, 67]",15.5,18.883333333333336,2,2016-06-06 08:33:05,40.76471328735352,-73.98078155517578,2,14,4.720833333333334,22.883333333333336,-1.5,4.0,3.220833333333334
"[37, 73]",15.5,17.2,2,2016-06-06 08:33:54,40.75488662719727,-73.98757934570312,2,14,4.3,21.2,-1.5,4.0,2.8
"[38, 75]",18.0,22.46666666666667,2,2016-06-06 08:33:58,40.78901672363281,-73.95497131347656,2,14,5.616666666666667,26.46666666666667,-4.0,4.0,1.6166666666666671
"[39, 50]",18.0,24.25,3,2016-06-06 08:34:04,40.73312377929688,-73.9909896850586,2,21,6.0625,30.25,3.0,6.0,9.0625
"[4, 10]",25.0,36.9,2,2016-06-06 08:30:33,40.77256393432617,-73.96302032470702,2,14,9.225,40.9,-11.0,4.0,-1.7750000000000004
"[40, 55]",30.5,37.36666666666667,3,2016-06-06 08:34:09,40.70537567138672,-74.00776672363281,2,21,9.341666666666667,43.36666666666667,-9.5,6.0,-0.15833333333333321
"[41, 66]",13.0,13.516666666666666,2,2016-06-06 08:34:11,40.76419067382813,-73.96885681152342,2,14,3.3791666666666664,17.516666666666666,1.0,4.0,4.379166666666666
"[47, 59]",20.5,28.333333333333336,3,2016-06-06 08:34:44,40.74711227416992,-73.97916412353516,2,21,7.083333333333334,34.333333333333336,0.5,6.0,7.583333333333334
"[54, 60]",15.5,17.2,2,2016-06-06 08:35:48,40.748008728027344,-73.98884582519531,2,14,4.3,21.2,-1.5,4.0,2.8
"[6, 43]",17.0,22.400000000000002,2,2016-06-06 08:30:38,40.75492858886719,-73.99150848388672,2,14,5.6000000000000005,26.400000000000002,-3.0,4.0,2.6000000000000005
"[63, 78]",17.5,24.633333333333333,2,2016-06-06 08:36:46,40.75537872314453,-73.98217010498048,2,14,6.158333333333333,28.633333333333333,-3.5,4.0,2.658333333333333
"[7, 31]",25.0,35.21666666666667,2,2016-06-06 08:30:44,40.77421569824219,-73.95154571533203,2,14,8.804166666666667,39.21666666666667,-11.0,4.0,-2.195833333333333
"[72, 95]",25.5,38.483333333333334,2,2016-06-06 08:37:36,40.77505874633789,-73.9568634033203,2,14,9.620833333333334,42.483333333333334,-11.5,4.0,-1.8791666666666664
"[90, 124]",13.0,15.350000000000001,2,2016-06-06 08:40:27,40.74279403686523,-73.9828109741211,2,14,3.8375000000000004,19.35,1.0,4.0,4.8375
"[98, 101]",13.0,15.133333333333333,2,2016-06-06 08:41:19,40.75439834594727,-73.99170684814453,2,14,3.783333333333333,19.133333333333333,1.0,4.0,4.783333333333333
"[99, 115]",18.0,24.21666666666667,3,2016-06-06 08:41:33,40.76223373413085,-73.97859954833984,2,21,6.054166666666667,30.21666666666667,3.0,6.0,9.054166666666667
"[112, 145]",15.0,17.5,2,2016-06-06 09:00:10,40.73154830932617,-73.9883270263672,2,14,4.375,21.5,-1.0,4.0,3.375
"[115, 138]",26.5,37.900000000000006,2,2016-06-06 09:00:38,40.78443145751953,-73.95188903808595,2,14,9.475000000000001,41.900000000000006,-12.5,4.0,-3.0249999999999986
"[13, 24]",31.0,42.733333333333334,3,2016-06-06 08:49:01,40.77259826660156,-73.96329498291014,2,21,10.683333333333334,48.733333333333334,-10.0,6.0,0.6833333333333336
"[14, 55]",22.0,31.916666666666668,2,2016-06-06 08:49:07,40.75209045410156,-73.97715759277344,2,14,7.979166666666667,35.91666666666667,-8.0,4.0000000000000036,-0.020833333333333037
"[25, 56]",21.5,29.133333333333333,3,2016-06-06 08:50:35,40.798133850097656,-73.96922302246094,2,21,7.283333333333333,35.13333333333333,-0.5,6.0,6.783333333333333
"[31, 76]",22.0,27.416666666666668,2,2016-06-06 08:51:36,40.75502395629883,-73.97425079345702,2,14,6.854166666666667,31.416666666666668,-8.0,4.0,-1.145833333333333
"[39, 80]",16.5,20.833333333333336,2,2016-06-06 08:52:18,40.73596954345703,-74.00833129882812,2,14,5.208333333333334,24.833333333333336,-2.5,4.0,2.708333333333334
"[41, 43]",17.0,23.21666666666667,4,2016-06-06 08:52:29,40.76641082763672,-73.9674530029297,2,28,5.804166666666667,31.21666666666667,11.0,8.0,16.804166666666667
"[46, 95]",12.0,13.916666666666666,2,2016-06-06 08:53:06,40.75976943969727,-73.96502685546875,2,14,3.4791666666666665,17.916666666666664,2.0,3.9999999999999982,5.479166666666666
"[55, 57]",11.0,11.583333333333334,3,2016-06-06 08:53:55,40.74569320678711,-73.98418426513672,2,21,2.8958333333333335,17.583333333333336,10.0,6.000000000000002,12.895833333333334
"[58, 101]",12.5,13.866666666666667,2,2016-06-06 08:53:59,40.71133804321289,-74.01577758789062,2,14,3.466666666666667,17.866666666666667,1.5,4.0,4.966666666666667
"[6, 40]",15.0,19.15,2,2016-06-06 08:48:00,40.75136947631836,-73.99049377441406,2,14,4.7875,23.15,-1.0,4.0,3.7874999999999996
"[60, 69]",23.5,34.416666666666664,2,2016-06-06 08:56:13,40.76176452636719,-73.98635864257811,2,14,8.604166666666666,38.416666666666664,-9.5,4.0,-0.8958333333333339
"[69, 79]",21.5,26.55,2,2016-06-06 08:55:09,40.75569534301758,-73.9867935180664,2,14,6.6375,30.55,-7.5,4.0,-0.8624999999999998
